Country,Network,MCC,MNC
Abkhazia,Aquafon,289,67
Abkhazia,A-Mobile,289,88
Afghanistan,Afghan Wireless (TSI),412,01
Afghanistan,Roshan (TDCA),412,20
Afghanistan,MTN,412,40
Afghanistan,Etisalat,412,50
Afghanistan,Wasel Telecom,412,55
Afghanistan,Afghan Telecom,412,88
Albania,Telekom.al,276,01
Albania,Vodafone,276,02
Albania,Eagle Mobile (ALBtelecom),276,03
Albania,Plus,276,04
Algeria,Mobilis (Algerie Telecom),603,01
Algeria,Djezzy,603,02
Algeria,Ooredoo (Wataniya),603,03
American Samoa,BlueSky Communications,544,11
Andorra,SOM (Andorra Telecom),213,03
Angola,Unitel,631,02
Angola,Movicel,631,04
Anguilla,Weblinks,365,01
Anguilla,FLOW (Cable & Wireless),365,84
Antigua and Barbuda,Apua,344,03
Antigua and Barbuda,Digicell,344,50
Antigua and Barbuda,FLOW (Cable & Wireless),344,92
Argentina,Movistar (Telefónica),722,01
Argentina,Nextel (NII),722,02
Argentina,Movistar (Telefónica),722,07
Argentina,Claro (AMX Argentina),722,31
Argentina,Claro (AMX Argentina),722,33
Argentina,Personal,722,34
Armenia,Beeline (ArmenTel),283,01
Armenia,Karabakh Telecom,283,04
Armenia,VivaCell (MTS),283,05
Armenia,Ucom LLC,283,10
Aruba,SETAR,363,01
Aruba,Digicel,363,02
Australia,Telstra,505,01
Australia,Optus (SingTel),505,02
Australia,Vodafone (Vodafone Hutchison),505,03
Australia,Lycamobile (MVNO),505,19
Austria,A1.net (A1 Telekom Austria),232,01
Austria,T-Mobile (Deutsche Telekom),232,03
Austria,3 (Hutchison),232,05
Austria,tele.ring (MVNO),232,07
Austria,Lycamobile (MVNO),232,08
Austria,3 (Hutchison),232,10
Austria,bob (A1 Telekom Austria) (MVNO),232,11
Austria,yesss! (A1 Telekom Austria) (MVNO),232,12
Austria,UPC Austria (MVNO),232,13
Austria,Vectone Mobile (MVNO),232,15
Austria,MASS Response Service GmbH,232,17
Austria,Smartspace GmbH (MVNO),232,18
Austria,Tele2 Telecommunication,232,19
Azerbaijan,Azercell (Fintur),400,01
Azerbaijan,Bakcell,400,02
Azerbaijan,CATEL,400,03
Azerbaijan,Nar Mobile (Azerfon),400,04
Azerbaijan,Nakhtel LLC,400,06
Bahamas,BTC (Cable & Wireless),364,39
Bahamas,Aliv,364,49
Bahrain,Batelco,426,01
Bahrain,Zain,426,02
Bahrain,VIVA Bahrain,426,04
Bangladesh,Grameenphone,470,01
Bangladesh,Robi (Axiata),470,02
Bangladesh,Banglalink,470,03
Bangladesh,TeleTalk,470,04
Bangladesh,Airtel (Bharti Airtel),470,07
Barbados,FLOW (Cable & Wireless),342,60
Barbados,Digicel,342,75
Belarus,Velcom (Telekom Austria),257,01
Belarus,MTS,257,02
Belarus,life:),257,04
Belgium,Proximus (Belgacom),206,01
Belgium,Telenet (MVNO),206,05
Belgium,Lycamobile (MVNO),206,06
Belgium,VOO,206,08
Belgium,Orange,206,10
Belgium,BASE (KPN),206,20
Belgium,Mobile Vikings (MVNO),206,30
Belize,DigiCell (Belize Telemedia),702,67
Belize,Smart (Speednet),702,69
Belize,Smart (Speednet),702,99
Benin,Libercom (Benin Telecoms),616,01
Benin,Moov (Telecel Benin),616,02
Benin,MTN,616,03
Benin,Bell Benin Communications,616,04
Benin,Glo Mobile (Globacom),616,05
Bermuda,CellOne,350,00
Bermuda,Digicel,350,01
Bermuda,Mobility,350,02
Bhutan,B-Mobile (Bhutan Telecom),402,11
Bhutan,TashiCell,402,77
Bolivia,Viva,736,01
Bolivia,Entel,736,02
Bolivia,Tigo,736,03
Bosnia and Herzegovina,HT Eronet (HT Mostar),218,03
Bosnia and Herzegovina,m:tel (Telekom Srpske),218,05
Bosnia and Herzegovina,BH Telecom,218,90
Botswana,Mascom,652,01
Botswana,Orange,652,02
Botswana,BTC Mobile,652,04
Brazil,Nextel,724,00
Brazil,TIM (Telecom Italia),724,02
Brazil,TIM (Telecom Italia),724,03
Brazil,TIM (Telecom Italia),724,04
Brazil,Claro (América Móvil),724,05
Brazil,Vivo (Telefónica),724,06
Brazil,Vivo (Telefónica),724,10
Brazil,Vivo (Telefónica),724,11
Brazil,Sercomtel,724,15
Brazil,Oi,724,16
Brazil,Datora (MVNO),724,18
Brazil,Vivo (Telefónica),724,19
Brazil,Vivo (Telefónica),724,23
Brazil,Oi,724,31
Brazil,Algar Telecom,724,32
Brazil,Algar Telecom,724,33
Brazil,Algar Telecom,724,34
Brazil,Nextel (NII),724,39
Brazil,Conecta (MVNO),724,54
BritishVirgin Islands,FLOW (Cable & Wireless),348,17
BritishVirgin Islands,Caribbean Cellular Telephone,348,57
BritishVirgin Islands,Digicel,348,77
Brunei,B-Mobile Communications,528,02
Brunei,DSTCom,528,11
Bulgaria,A1,284,01
Bulgaria,Vivacom,284,03
Bulgaria,Telenor,284,05
Bulgaria,T.com,284,13
Burkina Faso,Telmob (Onatel),613,01
Burkina Faso,Orange,613,02
Burkina Faso,Telecel Faso,613,03
Burundi,Econet Wireless,642,01
Burundi,Onatel,642,03
Burundi,Smart Mobile (Lacell),642,07
Burundi,Lumitel (Viettel),642,08
Burundi,econet Leo,642,82
Cambodia,Cellcard,456,01
Cambodia,Smart (Axiata),456,02
Cambodia,Qb (CADCOMMS),456,04
Cambodia,Smart (Axiata),456,05
Cambodia,Smart (Axiata),456,06
Cambodia,MetFone (Viettel),456,08
Cambodia,MetFone (Viettel),456,09
Cambodia,Seatel,456,11
Cambodia,Cootel (Xinwei),456,16
Cambodia,Cellcard (MobiTel),456,18
Cameroon,MTN,624,01
Cameroon,Orange,624,02
Cameroon,Camtel,624,03
Cameroon,Nexttel,624,04
Canada,Telus Mobility,302,22
Canada,ALO Mobile Inc.,302,25
Canada,EastLink (Bragg Communications),302,27
Canada,Airtel Wireless,302,29
Canada,Mobilicity (DAVE Wireless),302,32
Canada,Execulink,302,34
Canada,Telus Mobility,302,36
Canada,Rogers Wireless,302,37
Canada,TBayTel,302,38
Canada,TBayTel,302,39
Canada,WIND Mobile (Orascom),302,49
Canada,Videotron (Quebecor Media),302,50
